position,floor,packet_size,iteration,signal_power,tx_power,tx_time,rx_time,cell_id,ecl,snr,earfcn,pci,rsrq,operator_mode,used_energy,rlc_ul_bler,rlc_dl_bler,mac_ul_bler,rlc_ul,rlc_dl,mac_ul,mac_dl,mem_current_allocated,mem_total_free,mem_max_free,mem_num_allocs,mem_num_frees,primary_cell,rsrp,rssi
73,2,16,0,-704,180,1109,9444,3091056,0,49,6446,411,-120,3,0.087,0,0,0,447,55,354,74,27848,13392,12560,317,80,1,-704,-605
73,2,16,1,-710,160,297,1417,3091056,0,36,6446,411,-124,3,0.132,0,0,0,447,55,354,74,27848,13392,12560,333,96,1,-710,-610
73,2,16,2,-718,190,180,1499,3091056,0,37,6446,411,-124,3,0.091,0,0,0,447,55,354,74,27848,13392,12560,349,112,1,-718,-614
73,2,16,3,-709,190,190,1740,3091056,0,40,6446,411,-123,3,0.098,0,0,0,447,55,354,74,27848,13392,12560,365,128,1,-709,-615
73,2,16,4,-718,130,329,1409,3091056,0,30,6446,411,-128,3,0.113,0,0,0,447,55,354,74,27848,13392,12560,381,144,1,-718,-616
73,2,16,5,-715,120,328,1598,3091056,0,37,6446,411,-124,3,0.116,0,0,0,447,55,354,74,27848,13392,12560,397,160,1,-715,-617
73,2,16,6,-710,160,292,1289,3091056,0,36,6446,411,-124,3,0.131,0,0,0,447,55,354,74,27848,13392,12560,413,176,1,-710,-610
73,2,16,7,-711,180,296,1465,3091056,0,35,6446,411,-124,3,0.135,0,0,0,447,55,354,74,27848,13392,12560,429,192,1,-711,-611
73,2,16,8,-711,190,184,1608,3091056,0,40,6446,411,-123,3,0.095,0,0,0,447,55,354,74,27848,13392,12560,445,208,1,-711,-608
73,2,16,9,-716,180,549,1995,3091056,0,27,6446,411,-128,3,0.225,0,0,0,447,55,354,74,27848,13392,12560,461,224,1,-716,-614
73,2,32,0,-716,230,1197,2795,3091056,0,27,6446,411,-127,3,0.758,0,0,0,447,55,354,74,27848,13392,12560,477,240,1,-717,-602
73,2,32,1,-706,160,1613,2282,3091056,0,50,6446,411,-120,3,0.135,0,0,0,447,37,701,81,27848,13392,12560,493,256,1,-706,-611
73,2,32,2,-733,220,196,1508,3091056,0,6,6446,411,-140,3,0.098,0,0,0,447,37,701,81,27848,13392,12560,509,272,1,-733,-607
73,2,32,3,-714,190,184,1517,3091056,0,41,6446,411,-122,3,0.095,0,0,0,447,37,701,81,27848,13392,12560,525,288,1,-714,-612
73,2,32,4,-716,190,184,1256,3091056,0,30,6446,411,-126,3,0.090,0,0,0,447,37,701,81,27848,13392,12560,541,304,1,-716,-611
73,2,32,5,-717,170,324,1323,3091056,0,23,6446,411,-129,3,0.144,0,0,0,447,37,701,81,27848,13392,12560,557,320,1,-717,-610
73,2,32,6,-715,130,332,1459,3091056,0,24,6446,411,-128,3,0.118,0,0,0,447,37,701,81,27848,13392,12560,573,336,1,-715,-613
73,2,32,7,-716,190,184,1442,3091056,0,22,6446,411,-129,3,0.092,0,0,0,447,37,701,81,27848,13392,12560,589,352,1,-716,-609
73,2,32,8,-718,200,200,1562,3091056,0,26,6446,411,-128,3,0.095,0,0,0,447,37,701,81,27848,13392,12560,605,368,1,-718,-613
73,2,32,9,-719,170,300,1208,3091056,0,27,6446,411,-127,3,0.134,0,0,0,447,37,701,81,27848,13392,12560,621,384,1,-719,-617
73,2,64,0,-711,170,558,2149,3091056,0,24,6446,411,-128,3,0.222,0,0,0,447,37,701,81,27848,13392,12560,636,399,1,-711,-610
73,2,64,1,-721,160,320,1481,3091056,0,33,6446,411,-126,3,0.148,0,0,0,447,37,701,81,27848,13392,12560,651,414,1,-721,-620
73,2,64,2,-720,160,322,1429,3091056,0,18,6446,411,-131,3,0.144,0,0,0,447,37,701,81,27848,13392,12560,666,429,1,-720,-614
73,2,64,3,-715,160,322,1373,3091056,0,15,6446,411,-132,3,0.153,0,0,0,447,37,701,81,27848,13392,12560,681,444,1,-715,-610
73,2,64,4,-713,170,318,1320,3091056,0,25,6446,411,-128,3,0.150,0,0,0,447,37,701,81,27848,13392,12560,696,459,1,-713,-614
73,2,64,5,-715,230,2106,2571,3091056,0,23,6446,411,-129,3,0.841,0,0,0,447,37,701,81,27848,13392,12560,711,474,1,-717,-601
73,2,64,6,-713,210,741,2434,3091056,0,25,6446,411,-129,3,0.096,0,0,0,447,34,728,74,27848,13392,12560,726,489,1,-713,-611
73,2,64,7,-727,170,318,1391,3091056,0,13,6446,411,-134,3,0.150,0,0,0,447,34,728,74,27848,13392,12560,741,504,1,-727,-619
73,2,64,8,-706,160,321,1327,3091056,0,38,6446,411,-123,3,0.146,0,0,0,447,34,728,74,27848,13392,12560,756,519,1,-706,-612
73,2,64,9,-702,150,323,1270,3091056,0,52,6446,411,-119,3,0.137,0,0,0,447,34,728,74,27848,13392,12560,771,534,1,-702,-607
73,2,128,0,-696,210,205,1359,3091056,0,62,6446,411,-116,3,0.100,0,0,0,447,34,728,74,27848,13392,12560,786,549,1,-696,-606
73,2,128,1,-691,200,371,2163,3091056,0,49,6446,411,-120,3,0.151,0,0,0,447,34,728,74,27848,13392,12560,801,564,1,-691,-597
